Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Multiple Sclerosis	C0026769	SOD1	6647	P00441	superoxide dismutase 1	Enzyme	689	0.379	0.962	0.1773	0.07		1.0	7	1	2008	2019
Multiple Sclerosis	C0026769	STAT1	6772	P42224	signal transducer and activator of transcription 1	Nucleic acid binding	531	0.399	0.885	0.99999	0.07		1.0	7	0	2002	2019
Multiple Sclerosis	C0026769	IL18R1	8809	Q13478	interleukin 18 receptor 1	Receptor	234	0.473	0.808	8.625e-06	0.07		1.0	7	0	2000	2018
Multiple Sclerosis	C0026769	PPARGC1A	10891	Q9UBK2	PPARG coactivator 1 alpha	Transcription factor	350	0.453	0.885	0.9973	0.06		1.0	6	0	2013	2020
Multiple Sclerosis	C0026769	CYP2R1	120227	Q6VVX0	cytochrome P450 family 2 subfamily R member 1		139	0.563	0.731	3.793e-10	0.06		1.0	6	1	2010	2018
Multiple Sclerosis	C0026769	CNR2	1269	P34972	cannabinoid receptor 2	G-protein coupled receptor	197	0.509	0.846	6.5369e-06	0.06		1.0	6	3	2008	2020
Multiple Sclerosis	C0026769	CSF3	1440	P09919	colony stimulating factor 3		687	0.377	0.885	0.38046	0.06		0.833	6	0	2015	2019
Multiple Sclerosis	C0026769	AGER	177	Q15109	advanced glycosylation end-product specific receptor	Receptor	450	0.42	0.885	6.3528e-16	0.06		1.0	6	1	2009	2019
Multiple Sclerosis	C0026769	AGT	183	P01019	angiotensinogen	Enzyme modulator	765	0.367	0.923	4.9706e-08	0.06		1.0	6	1	2007	2019
Multiple Sclerosis	C0026769	AHR	196	P35869	aryl hydrocarbon receptor	Transcription factor	532	0.41	0.923	0.99999	0.06		1.0	6	0	2016	2019
Multiple Sclerosis	C0026769	EPO	2056	P01588	erythropoietin		646	0.381	0.885	0.01125	0.06		1.0	6	0	2006	2018
Multiple Sclerosis	C0026769	ESR1	2099	P03372	estrogen receptor 1	Nuclear receptor	1101	0.324	0.962	0.9992	0.06		0.833	6	0	2000	2018
Multiple Sclerosis	C0026769	ESR2	2100	Q92731	estrogen receptor 2	Nuclear receptor	528	0.4	0.923	4.4516e-08	0.06		1.0	6	0	2017	2019
Multiple Sclerosis	C0026769	ALB	213	P02768	albumin	Transporter	1198	0.317	0.962	0.64329	0.06		0.833	6	0	2017	2020
Multiple Sclerosis	C0026769	CBLIF	2694	P27352	cobalamin binding intrinsic factor		185	0.507	0.808	0.00024911	0.06		1.0	6	0	1989	2019
Multiple Sclerosis	C0026769	GJA1	2697	P17302	gap junction protein alpha 1	Cell-cell junction	662	0.393	0.885	0.15523	0.06		0.833	6	0	2012	2018
Multiple Sclerosis	C0026769	HPGDS	27306	O60760	hematopoietic prostaglandin D synthase		570	0.388	0.923	1.8063e-06	0.06		1.0	6	0	2003	2017
Multiple Sclerosis	C0026769	IFNAR1	3454	P17181	interferon alpha and beta receptor subunit 1	Receptor	142	0.532	0.769	3.2501e-12	0.06		0.833	6	0	2003	2016
Multiple Sclerosis	C0026769	IGF1	3479	P05019	insulin like growth factor 1		1206	0.318	0.885	0.2716	0.06		1.0	6	0	2000	2017
Multiple Sclerosis	C0026769	IL4R	3566	P24394	interleukin 4 receptor	Receptor	242	0.474	0.846	0.00023013	0.06		0.667	6	1	2001	2019
Multiple Sclerosis	C0026769	IL9	3578	P15248	interleukin 9		291	0.461	0.846	8.1087e-07	0.06		1.0	6	0	1999	2017
Multiple Sclerosis	C0026769	LIF	3976	P15018	LIF interleukin 6 family cytokine	Signaling	236	0.483	0.769	0.5242	0.06		1.0	6	0	1996	2016
Multiple Sclerosis	C0026769	MIR223	407008		microRNA 223		348	0.433	0.808		0.06		1.0	6	0	2013	2019
Multiple Sclerosis	C0026769	MAG	4099	P20916	myelin associated glycoprotein	Receptor	106	0.579	0.692	0.49228	0.06		0.833	6	0	1999	2019
Multiple Sclerosis	C0026769	MAPT	4137	P10636	microtubule associated protein tau		469	0.446	0.923	0.0060258	0.06		0.833	6	1	2004	2020
Multiple Sclerosis	C0026769	MX1	4599	P20591	MX dynamin like GTPase 1	Enzyme modulator	71	0.599	0.731	3.4206e-18	0.06		1.0	6	3	2006	2017
Multiple Sclerosis	C0026769	NOTCH3	4854	Q9UM47	notch receptor 3		418	0.435	0.808	0.40757	0.06		1.0	6	1	2000	2019
Multiple Sclerosis	C0026769	SERPINE1	5054	P05121	serpin family E member 1	Enzyme modulator	770	0.359	0.885	0.043609	0.06		1.0	6	0	1996	2018
Multiple Sclerosis	C0026769	PECAM1	5175	P16284	platelet and endothelial cell adhesion molecule 1	Cell adhesion	396	0.426	0.846		0.06		0.833	6	0	2000	2019
Multiple Sclerosis	C0026769	SERPINA1	5265	P01009	serpin family A member 1	Enzyme modulator	482	0.41	0.923	6.8497e-08	0.06		1.0	6	0	1984	2019
Multiple Sclerosis	C0026769	PLAT	5327	P00750	plasminogen activator, tissue type	Enzyme	392	0.445	0.885	5.6593e-05	0.06		1.0	6	0	1996	2018
Multiple Sclerosis	C0026769	PON1	5444	P27169	paraoxonase 1		496	0.409	0.885	9.8142e-11	0.06		0.5	6	2	2007	2017
Multiple Sclerosis	C0026769	ZNF410	57862	Q86VK4	zinc finger protein 410	Transcription factor	75	0.585	0.769	0.35337	0.06		0.667	6	0	2000	2018
Multiple Sclerosis	C0026769	RELA	5970	Q04206	RELA proto-oncogene, NF-kB subunit	Transcription factor	483	0.406	0.885	0.99948	0.06		1.0	6	0	2007	2019
Multiple Sclerosis	C0026769	S100B	6285	P04271	S100 calcium binding protein B	Calcium-binding protein	599	0.383	0.923	0.04387	0.06		1.0	6	0	2002	2019
Multiple Sclerosis	C0026769	CX3CL1	6376	P78423	C-X3-C motif chemokine ligand 1	Signaling	243	0.478	0.808	0.60837	0.06		0.833	6	0	2003	2019
Multiple Sclerosis	C0026769	GORASP1	64689	Q9BQQ3	golgi reassembly stacking protein 1		369	0.428	0.846	0.019543	0.06		1.0	6	0	2007	2019
Multiple Sclerosis	C0026769	WNK1	65125	Q9H4A3	WNK lysine deficient protein kinase 1	Kinase	460	0.416	0.846	1.0	0.06		1.0	6	0	2007	2019
Multiple Sclerosis	C0026769	SMPD1	6609	P17405	sphingomyelin phosphodiesterase 1	Enzyme	247	0.499	0.885	3.8932e-10	0.06		1.0	6	0	2016	2019
Multiple Sclerosis	C0026769	SYT1	6857	P21579	synaptotagmin 1	Transporter	460	0.412	0.846	0.60038	0.06		1.0	6	0	2007	2019
Multiple Sclerosis	C0026769	THBS1	7057	P07996	thrombospondin 1		480	0.407	0.885	0.99985	0.06		1.0	6	1	1990	2017
Multiple Sclerosis	C0026769	TIMP2	7077	P16035	TIMP metallopeptidase inhibitor 2	Enzyme modulator	404	0.425	0.846	0.78893	0.06		0.833	6	0	1999	2019
Multiple Sclerosis	C0026769	TAM	8205		Myeloproliferative syndrome, transient (transient abnormal		141	0.528	0.731		0.06		1.0	6	0	2011	2018
Multiple Sclerosis	C0026769	SOCS1	8651	O15524	suppressor of cytokine signaling 1	Enzyme modulator	315	0.445	0.808	0.58544	0.06		1.0	6	0	2011	2017
Multiple Sclerosis	C0026769	IL33	90865	O95760	interleukin 33		487	0.409	0.885	8.2925e-10	0.06		1.0	6	0	2013	2019
Multiple Sclerosis	C0026769	PDLIM7	9260	Q9NR12	PDZ and LIM domain 7	Cellular structure	241	0.474	0.808	0.70838	0.06		1.0	6	0	2008	2019
Multiple Sclerosis	C0026769	CD14	929	P08571	CD14 molecule		551	0.392	0.885	4.8813e-05	0.06		1.0	6	0	2006	2019
Multiple Sclerosis	C0026769	CD19	930	P15391	CD19 molecule		365	0.43	0.885	0.90496	0.06		1.0	6	0	2003	2017
Multiple Sclerosis	C0026769	LINC01672	100505887		long intergenic non-protein coding RNA 1672		268	0.462	0.846		0.05		1.0	5	0	2017	2020
Multiple Sclerosis	C0026769	ERVK-18	100775105		endogenous retrovirus group K member 18		106	0.56	0.654		0.05		1.0	5	0	2008	2019
Multiple Sclerosis	C0026769	OPN1MW3	101060233	P04001;P0DN77;P0DN78	opsin 1, medium wave sensitive 3		80	0.601	0.769		0.05		1.0	5	0	2017	2018
Multiple Sclerosis	C0026769	LRPPRC	10128	P42704	leucine rich pentatricopeptide repeat containing		220	0.493	0.769	2.3019e-10	0.05		1.0	5	0	2007	2018
Multiple Sclerosis	C0026769	LOC102723407	102723407		immunoglobulin heavy variable 4-38-2-like		159	0.514	0.769		0.05		1.0	5	0	1991	2015
Multiple Sclerosis	C0026769	LOC102724971	102724971		putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8		139	0.527	0.769		0.05		1.0	5	0	1991	2015
Multiple Sclerosis	C0026769	PADI2	11240	Q9Y2J8	peptidyl arginine deiminase 2		67	0.61	0.615	4.9471e-11	0.05		1.0	5	0	2007	2017
Multiple Sclerosis	C0026769	CCR7	1236	P32248	C-C motif chemokine receptor 7	G-protein coupled receptor	320	0.443	0.769	0.057623	0.05		0.8	5	0	2004	2017
Multiple Sclerosis	C0026769	C9orf72	203228	Q96LT7	C9orf72-SMCR8 complex subunit		258	0.496	0.769	1.0647e-06	0.05		0.2	5	0	2013	2018
Multiple Sclerosis	C0026769	ALCAM	214	Q13740	activated leukocyte cell adhesion molecule	Cell adhesion	181	0.502	0.808	0.73267	0.05		1.0	5	3	2013	2019
Multiple Sclerosis	C0026769	PADI4	23569	Q9UM07	peptidyl arginine deiminase 4		196	0.494	0.808	4.6001e-16	0.05		1.0	5	0	2006	2017
Multiple Sclerosis	C0026769	OPN1MW	2652	P04001;P0DN77;P0DN78	opsin 1, medium wave sensitive	G-protein coupled receptor	107	0.572	0.769	0.037781	0.05		1.0	5	0	2017	2018
Multiple Sclerosis	C0026769	RGCC	28984	Q9H4X1	regulator of cell cycle		81	0.595	0.769	0.0048149	0.05		1.0	5	0	2013	2019
Multiple Sclerosis	C0026769	CD274	29126	Q9NZQ7	CD274 molecule	Receptor	1011	0.324	0.923	0.01916	0.05		1.0	5	0	2004	2019
Multiple Sclerosis	C0026769	GSTM1	2944	P09488	glutathione S-transferase mu 1		627	0.38	0.923	0.0020641	0.05		0.6	5	1	2007	2017
Multiple Sclerosis	C0026769	HFE	3077	Q30201	homeostatic iron regulator		415	0.436	0.846	2.5587e-08	0.05		1.0	5	3	2004	2012
Multiple Sclerosis	C0026769	HLA-DRB3	3125	P79483	major histocompatibility complex, class II, DR beta 3	Immune response	85	0.57	0.885		0.05		0.8	5	0	1996	2018
Multiple Sclerosis	C0026769	HPRT1	3251	P00492	hypoxanthine phosphoribosyltransferase 1	Enzyme	210	0.5	0.808	0.93728	0.05		1.0	5	0	1990	1995
Multiple Sclerosis	C0026769	IFNAR2	3455	P48551	interferon alpha and beta receptor subunit 2	Receptor	85	0.585	0.731	8.5332e-06	0.05		1.0	5	0	2003	2016
Multiple Sclerosis	C0026769	IL6ST	3572	P40189	interleukin 6 signal transducer	Signaling	260	0.475	0.808	0.99978	0.05		1.0	5	0	2007	2018
Multiple Sclerosis	C0026769	IRF1	3659	P10914	interferon regulatory factor 1	Transcription factor	257	0.468	0.769	0.9909	0.05		0.8	5	0	2000	2019
Multiple Sclerosis	C0026769	KIR2DS1	3806	Q14954	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1	Receptor	123	0.537	0.769		0.05		0.8	5	0	2011	2019
Multiple Sclerosis	C0026769	MIR145	406937		microRNA 145		366	0.431	0.846		0.05		0.8	5	0	2012	2019
Multiple Sclerosis	C0026769	MIR21	406991		microRNA 21		726	0.363	0.846		0.05		1.0	5	0	2012	2019
Multiple Sclerosis	C0026769	MTR	4548	Q99707	5-methyltetrahydrofolate-homocysteine methyltransferase		245	0.482	0.808	2.4301e-12	0.05		0.8	5	1	2017	2019
Multiple Sclerosis	C0026769	NFKB1	4790	P19838	nuclear factor kappa B subunit 1	Transcription factor	551	0.396	0.923	1.0	0.05		1.0	5	0	2002	2019
Multiple Sclerosis	C0026769	NGF	4803	P01138	nerve growth factor	Signaling	616	0.391	0.885	0.82026	0.05		1.0	5	0	1999	2019
Multiple Sclerosis	C0026769	NR4A2	4929	P43354	nuclear receptor subfamily 4 group A member 2	Nuclear receptor	166	0.529	0.846	0.99959	0.05		0.8	5	0	2005	2019
Multiple Sclerosis	C0026769	P2RX4	5025	Q99571	purinergic receptor P2X 4	Ion channel	138	0.547	0.808	4.9835e-12	0.05		1.0	5	1	2017	2019
Multiple Sclerosis	C0026769	PIK3CG	5294	P48736	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	Kinase	1101	0.32	0.885	1.4076e-06	0.05		1.0	5	0	2014	2019
Multiple Sclerosis	C0026769	MOK	5891	Q9UQ07	MOK protein kinase	Kinase	251	0.476	0.769	8.8397e-22	0.05		1.0	5	1	2009	2019
Multiple Sclerosis	C0026769	HNRNPA1P10	664709		heterogeneous nuclear ribonucleoprotein A1 pseudogene 10		53	0.631	0.654		0.05		1.0	5	0	2012	2018
Multiple Sclerosis	C0026769	OPN1MW2	728458	P04001;P0DN77;P0DN78	opsin 1, medium wave sensitive 2		80	0.601	0.769	0.24464	0.05		1.0	5	0	2017	2018
Multiple Sclerosis	C0026769	UCP2	7351	P55851	uncoupling protein 2	Transporter	235	0.493	0.808	1.5497e-10	0.05		1.0	5	1	2005	2017
Multiple Sclerosis	C0026769	WAS	7454	P42768	WASP actin nucleation promoting factor	Cellular structure	204	0.529	0.808	0.99901	0.05		1.0	5	0	2018	2018
Multiple Sclerosis	C0026769	LINGO1	84894	Q96FE5	leucine rich repeat and Ig domain containing 1	Receptor	44	0.682	0.385	0.99413	0.05		1.0	5	2	2007	2017
Multiple Sclerosis	C0026769	TNFSF13	8741	O75888	TNF superfamily member 13		189	0.499	0.769	0.81724	0.05		1.0	5	0	2005	2020
Multiple Sclerosis	C0026769	KL	9365	Q9UEF7	klotho	Enzyme	332	0.448	0.769	0.00022444	0.05		1.0	5	0	2012	2018
Multiple Sclerosis	C0026769	CD47	961	Q08722	CD47 molecule		253	0.468	0.769	0.91924	0.05		1.0	5	0	2007	2012
Multiple Sclerosis	C0026769	OLIG1	116448	Q8TAK6	oligodendrocyte transcription factor 1	Enzyme	21	0.722	0.423	0.66074	0.04		1.0	4	0	2004	2017
Multiple Sclerosis	C0026769	CCR4	1233	P51679	C-C motif chemokine receptor 4	G-protein coupled receptor	168	0.51	0.731	0.06863	0.04		1.0	4	0	2000	2017
Multiple Sclerosis	C0026769	CP	1356	P00450	ceruloplasmin	Enzyme	283	0.466	0.846	4.2013e-10	0.04		1.0	4	0	2013	2019
Multiple Sclerosis	C0026769	CUX1	1523	P39880;Q13948	cut like homeobox 1	Transcription factor	283	0.465	0.846	1.0	0.04		1.0	4	0	2009	2019
Multiple Sclerosis	C0026769	DBP	1628	Q10586	D-box binding PAR bZIP transcription factor	Nucleic acid binding	105	0.556	0.731	0.23376	0.04		1.0	4	0	2002	2017
Multiple Sclerosis	C0026769	NQO1	1728	P15559	NAD(P)H quinone dehydrogenase 1		368	0.434	0.885	1.1867e-09	0.04		0.75	4	2	2011	2019
Multiple Sclerosis	C0026769	EDN1	1906	P05305	endothelin 1	Signaling	679	0.38	0.846	0.45504	0.04		1.0	4	0	2018	2019
Multiple Sclerosis	C0026769	FCGRT	2217	P55899	Fc fragment of IgG receptor and transporter		102	0.563	0.654	0.041493	0.04		0.75	4	0	1992	2003
Multiple Sclerosis	C0026769	FN1	2335	P02751	fibronectin 1	Signaling	724	0.365	0.962	0.0014045	0.04		1.0	4	0	2015	2018
Multiple Sclerosis	C0026769	PRDX5	25824	P30044	peroxiredoxin 5		153	0.522	0.808	0.00017921	0.04		0.75	4	0	1997	2017
Multiple Sclerosis	C0026769	HAVCR1	26762	Q96D42	hepatitis A virus cellular receptor 1		217	0.489	0.885	8.5105e-07	0.04		0.5	4	0	2004	2017
Multiple Sclerosis	C0026769	IGHV3OR16-7	28309		immunoglobulin heavy variable 3/OR16-7 (pseudogene)		98	0.566	0.654		0.04		1.0	4	0	1991	2015
Multiple Sclerosis	C0026769	IGHV3-69-1	28402		immunoglobulin heavy variable 3-69-1 (pseudogene)		102	0.561	0.654		0.04		1.0	4	0	1991	2015
Multiple Sclerosis	C0026769	GRN	2896	P28799	granulin precursor		412	0.435	0.846	0.069666	0.04		1.0	4	1	2010	2019
Multiple Sclerosis	C0026769	GSTP1	2950	P09211	glutathione S-transferase pi 1		610	0.383	0.923	0.014155	0.04		0.75	4	3	2014	2018
Multiple Sclerosis	C0026769	GSTT1	2952	P30711	glutathione S-transferase theta 1		541	0.393	0.923	0.00014834	0.04		0.5	4	0	2007	2017
Multiple Sclerosis	C0026769	CFH	3075	P08603	complement factor H		393	0.441	0.885	0.86061	0.04		1.0	4	1	2010	2019
Multiple Sclerosis	C0026769	HLA-DOA	3111	P06340	major histocompatibility complex, class II, DO alpha	Immune response	160	0.509	0.808	2.9776e-10	0.04		1.0	4	0	1977	2012
Multiple Sclerosis	C0026769	NR4A1	3164	P22736	nuclear receptor subfamily 4 group A member 1	Nuclear receptor	216	0.49	0.731	0.37074	0.04		1.0	4	0	2011	2018
Multiple Sclerosis	C0026769	HSPA1A	3303	P0DMV8;P0DMV9	heat shock protein family A (Hsp70) member 1A		229	0.486	0.769	0.030228	0.04		1.0	4	1	2001	2016
Multiple Sclerosis	C0026769	HSPA1B	3304	P0DMV8;P0DMV9	heat shock protein family A (Hsp70) member 1B		251	0.474	0.808	0.0053464	0.04		1.0	4	0	2001	2016
Multiple Sclerosis	C0026769	IL5	3567	P05113	interleukin 5		359	0.437	0.846	0.0056529	0.04		1.0	4	0	2001	2020
Multiple Sclerosis	C0026769	IL11	3589	P20809	interleukin 11		244	0.481	0.808	0.00031772	0.04		1.0	4	0	2001	2019
Multiple Sclerosis	C0026769	KIF5A	3798	Q12840	kinesin family member 5A	Cellular structure	112	0.593	0.731	0.99995	0.04		1.0	4	2	2010	2018
Multiple Sclerosis	C0026769	KIR3DL2	3812	P43630	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2	Receptor	118	0.543	0.769	6.0804e-12	0.04		0.75	4	0	2011	2019
Multiple Sclerosis	C0026769	KLRC2	3822	P26717	killer cell lectin like receptor C2		50	0.636	0.731	4.8735e-10	0.04		1.0	4	0	2013	2019
Multiple Sclerosis	C0026769	LAG3	3902	P18627	lymphocyte activating 3	Receptor	154	0.517	0.692	0.27623	0.04		1.0	4	0	2005	2019
Multiple Sclerosis	C0026769	LBR	3930	Q14739	lamin B receptor	Enzyme	307	0.473	0.808	0.18143	0.04		1.0	4	0	1989	2016
Multiple Sclerosis	C0026769	LGALS3	3958	P17931	galectin 3	Signaling	557	0.392	0.846	2.3207e-05	0.04		1.0	4	0	2016	2020
Multiple Sclerosis	C0026769	MGAT1	4245	P26572	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase		52	0.674	0.538	0.98879	0.04		1.0	4	0	2011	2014
Multiple Sclerosis	C0026769	MICB	4277	Q29980	MHC class I polypeptide-related sequence B		95	0.576	0.731	4.0609e-05	0.04		1.0	4	0	2008	2019
Multiple Sclerosis	C0026769	MIF	4282	P14174	macrophage migration inhibitory factor		455	0.412	0.885	0.012262	0.04		1.0	4	2	2008	2018
Multiple Sclerosis	C0026769	MMP1	4312	P03956	matrix metallopeptidase 1	Enzyme	589	0.385	0.885	7.7197e-18	0.04		1.0	4	0	2001	2018
Multiple Sclerosis	C0026769	MMP3	4314	P08254	matrix metallopeptidase 3	Enzyme	473	0.408	0.885	5.7362e-15	0.04		1.0	4	0	1999	2009
Multiple Sclerosis	C0026769	MYD88	4615	Q99836	MYD88 innate immune signal transduction adaptor	Enzyme modulator	480	0.414	0.923	0.12443	0.04		1.0	4	0	2013	2019
Multiple Sclerosis	C0026769	NM	4827		neutrophil migration		250	0.473	0.808		0.04		1.0	4	0	2007	2018
Multiple Sclerosis	C0026769	NOTCH1	4851	P46531	notch receptor 1		693	0.369	0.885	1.0	0.04		1.0	4	0	2002	2018
Multiple Sclerosis	C0026769	OAS1	4938	P00973	2'-5'-oligoadenylate synthetase 1	Enzyme	72	0.626	0.654	3.4489e-05	0.04		1.0	4	2	2006	2012
Multiple Sclerosis	C0026769	TNFRSF11B	4982	O00300	TNF receptor superfamily member 11b		443	0.422	0.808	0.16171	0.04		0.5	4	1	2008	2018
Multiple Sclerosis	C0026769	PIK3CA	5290	P42336	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	Kinase	1511	0.292	0.923	1.0	0.04		1.0	4	0	2014	2019
Multiple Sclerosis	C0026769	PIK3CB	5291	P42338	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	Kinase	1083	0.322	0.885	0.99964	0.04		1.0	4	0	2014	2019
Multiple Sclerosis	C0026769	PIK3CD	5293	O00329	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	Kinase	1119	0.319	0.885	0.99999	0.04		1.0	4	0	2014	2019
Multiple Sclerosis	C0026769	PLG	5340	P00747	plasminogen	Enzyme	586	0.389	0.923	0.010345	0.04		0.75	4	0	1999	2017
Multiple Sclerosis	C0026769	PRKCA	5578	P17252	protein kinase C alpha	Kinase	368	0.44	0.846	0.3677	0.04		1.0	4	0	2004	2014
Multiple Sclerosis	C0026769	KLK6	5653	Q92876	kallikrein related peptidase 6	Enzyme	99	0.575	0.654	0.0060052	0.04		1.0	4	0	2002	2018
Multiple Sclerosis	C0026769	RGMA	56963	Q96B86	repulsive guidance molecule BMP co-receptor a		43	0.656	0.692	0.16472	0.04		1.0	4	0	2011	2018
Multiple Sclerosis	C0026769	PDXP	57026	Q96GD0	pyridoxal phosphatase	Enzyme	149	0.533	0.731	0.25559	0.04		0.75	4	0	1997	2017
Multiple Sclerosis	C0026769	PTHLH	5744	P12272	parathyroid hormone like hormone		321	0.453	0.846	0.81146	0.04		0.75	4	0	1997	2017
Multiple Sclerosis	C0026769	PTPN6	5777	P29350	protein tyrosine phosphatase non-receptor type 6		218	0.485	0.769	0.99999	0.04		1.0	4	0	2008	2012
Multiple Sclerosis	C0026769	RPL5	6125	P46777	ribosomal protein L5	Nucleic acid binding	92	0.617	0.615	0.99776	0.04		1.0	4	0	2008	2010
Multiple Sclerosis	C0026769	CCL20	6364	P78556	C-C motif chemokine ligand 20	Signaling	242	0.474	0.846	0.00024242	0.04		1.0	4	1	2014	2019
Multiple Sclerosis	C0026769	SDC1	6382	P18827	syndecan 1	Extracellular structure	323	0.445	0.769	0.0084118	0.04		1.0	4	0	2004	2018
Multiple Sclerosis	C0026769	SELPLG	6404	Q14242	selectin P ligand		113	0.564	0.692	0.1768	0.04		1.0	4	1	2003	2009
Multiple Sclerosis	C0026769	SIL1	64374	Q9H173	SIL1 nucleotide exchange factor		115	0.584	0.731	0.012265	0.04		1.0	4	0	1979	1985
Multiple Sclerosis	C0026769	P2RY12	64805	Q9H244	purinergic receptor P2Y12	G-protein coupled receptor	153	0.533	0.731	0.0016859	0.04		1.0	4	0	2017	2019
Multiple Sclerosis	C0026769	TAC1	6863	P20366	tachykinin precursor 1		478	0.424	0.923	0.74608	0.04		1.0	4	0	2002	2013
Multiple Sclerosis	C0026769	TLR3	7098	O15455	toll like receptor 3	Receptor	393	0.427	0.885	1.6349e-07	0.04		1.0	4	1	2010	2019
Multiple Sclerosis	C0026769	TP53	7157	P04637	tumor protein p53	Transcription factor	2494	0.236	0.962	0.53235	0.04		1.0	4	1	2002	2011
Multiple Sclerosis	C0026769	ARHGEF5	7984	Q12774	Rho guanine nucleotide exchange factor 5		140	0.526	0.808	7.5872e-14	0.04		0.5	4	0	2004	2017
Multiple Sclerosis	C0026769	EOMES	8320	O95936	eomesodermin	Transcription factor	60	0.619	0.692	0.98443	0.04		0.75	4	1	2014	2019
Multiple Sclerosis	C0026769	CASP8	841	Q14790	caspase 8	Enzyme	480	0.404	0.923	3.7236e-06	0.04		1.0	4	1	2003	2018
Multiple Sclerosis	C0026769	NR0B2	8431	Q15466	nuclear receptor subfamily 0 group B member 2	Nuclear receptor	251	0.474	0.808	8.3377e-06	0.04		1.0	4	0	2008	2012
Multiple Sclerosis	C0026769	CAT	847	P04040	catalase	Enzyme	794	0.359	0.962	1.6263e-10	0.04		1.0	4	0	1998	2017
Multiple Sclerosis	C0026769	TIMELESS	8914	Q9UNS1	timeless circadian regulator		140	0.533	0.808	9.8476e-35	0.04		0.5	4	0	2004	2017
Multiple Sclerosis	C0026769	SH2D2A	9047	Q9NP31	SH2 domain containing 2A		11	0.78	0.192	8.2695e-07	0.04		1.0	4	1	2001	2008
Multiple Sclerosis	C0026769	ARHGEF2	9181	Q92974	Rho/Rac guanine nucleotide exchange factor 2		205	0.502	0.769	1.0	0.04		1.0	4	0	1999	2017
Multiple Sclerosis	C0026769	MSC	9242	O60682	musculin		241	0.475	0.846	0.024651	0.04		1.0	4	0	2012	2019
Multiple Sclerosis	C0026769	CD34	947	P28906	CD34 molecule		674	0.368	0.808	4.9881e-06	0.04		1.0	4	0	2010	2014
Multiple Sclerosis	C0026769	CD44	960	P16070	CD44 molecule (Indian blood group)		711	0.363	0.962	2.4476e-07	0.04		1.0	4	0	1994	2017
Multiple Sclerosis	C0026769	C20orf181	100128998		chromosome 20 open reading frame 181		246	0.479	0.885		0.03		1.0	3	0	1999	2005
Multiple Sclerosis	C0026769	ERVH-3	100289683		endogenous retrovirus group H member 3		1	1.0	0.077		0.03		1.0	3	0	2012	2018
Multiple Sclerosis	C0026769	DNM1L	10059	O00429	dynamin 1 like	Enzyme modulator	273	0.475	0.808	0.00056753	0.03		1.0	3	0	2017	2019
Multiple Sclerosis	C0026769	ERVK-2	100616100		endogenous retrovirus group K member 2		37	0.674	0.423		0.03		1.0	3	0	2006	2013
Multiple Sclerosis	C0026769	ERVK-12	100616442		endogenous retrovirus group K member 12		36	0.678	0.423		0.03		1.0	3	0	2006	2013
Multiple Sclerosis	C0026769	ERVK-20	100616444		endogenous retrovirus group K member 20		143	0.533	0.692		0.03		1.0	3	0	2017	2019
Multiple Sclerosis	C0026769	ERVK-22	100616445		endogenous retrovirus group K member 22		36	0.678	0.423		0.03		1.0	3	0	2006	2013
Multiple Sclerosis	C0026769	ERVK-11	100862688		endogenous retrovirus group K member 11		41	0.663	0.423		0.03		1.0	3	0	2006	2013
Multiple Sclerosis	C0026769	TOB1	10140	P50616	transducer of ERBB2, 1		39	0.674	0.462	0.95365	0.03		1.0	3	0	2008	2017
Multiple Sclerosis	C0026769	RABEPK	10244	Q7Z6M1	Rab9 effector protein with kelch motifs		112	0.553	0.692	2.8422e-11	0.03		1.0	3	0	1999	2016
Multiple Sclerosis	C0026769	LANCL1	10314	O43813	LanC like 1		113	0.552	0.692	1.0827e-11	0.03		1.0	3	0	1999	2016
Multiple Sclerosis	C0026769	TRIM22	10346	Q8IYM9	tripartite motif containing 22		33	0.691	0.5	2.1312e-05	0.03		0.333	3	0	2013	2019
Multiple Sclerosis	C0026769	SEMA3A	10371	Q14563	semaphorin 3A	Signaling	202	0.5	0.808	0.9779	0.03		1.0	3	0	2007	2018
Multiple Sclerosis	C0026769	CDR2	1039	Q01850	cerebellar degeneration related protein 2		45	0.647	0.654	4.299e-07	0.03		1.0	3	0	1994	1998
Multiple Sclerosis	C0026769	LOC105379528	105379528		uncharacterized LOC105379528		55	0.617	0.615		0.03		1.0	3	0	1991	1995
Multiple Sclerosis	C0026769	ANP32B	10541	Q92688	acidic nuclear phosphoprotein 32 family member B	Enzyme modulator	120	0.541	0.731	0.95827	0.03		1.0	3	0	2005	2019
